"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
case_manager_notes,screening,,notes,"Notes for Case Manager Consult",,"Volunteers only",,,,,"[case_manager] = '1'",,,,,,
case_manager,screening,,yesno,"Case Manager Needed?",,"Volunteers only",,,,,"[qr_code] = '0'",,,,,,
notes_reach_sc,screening,,notes,"Notes during screening",,,,,,,"[qr_code] = '0'",,,,,,
nccare360,screening,,yesno,"Enrolled in NCCARE360?",,"If patient filling out, select ""No""",,,,,"[qr_code] = '0'",y,,,,,
responsible_volunteer,screening,,dropdown,"Assigned Volunteer","19, Needs to Be Assigned | 1, Gene M | 2, Ethan B | 3, Matthew Y | 4, Natalie G | 5, Brianna C | 6, Advika K | 7, Mohanapriya C | 8, Bailey G | 9, Dongwon L | 10, Ayra C | 11, Haripriya D | 12, Gloria K | 13, Morgan B | 14, Leslie L P | 15, Nidhi D | 16, James Z | 17, Natalie R | 18, Grace L | 20, Meredith H | 21, Adrian C | 22, Caroline H | 23, Sriya D | 24, Emily R | 25, Aneri T | 26, Rose N | 27, Esther Z | 28, Amber B | 29, Katherine W | 30, Margo B | 31, NiQuava P | 32, Scott M | 33, Pratamesh R | 34, Rebecca L | 35, Sue Z | 36, Wayne W | 37, Amitesh V | 38, McKenna P | 39, Esha P | 40, Rhea N | 41, Shibani M | 42, Yaneli G H | 43, Devan D | 44, Amy C | 45, Julia C | 46, Yasmin A | 47, Maria B | 48, Ishaan B | 49, Austin B | 50, Eugene C | 51, Emily D C | 52, Saisha D | 53, Spandan G | 54, Amy G | 55, Achintya I | 56, Elena K | 57, Cristal O | 58, Taylor P | 59, Catherine P | 60, Ashna S | 61, Rachel S | 62, Ashish S | 63, Ariana V | 64, Brooke W | 65, Dev S | 66, Elias L","If filling out without volunteer assistance, choose ""Needs to Be Assigned""",autocomplete,,,y,,y,,,,,
comments,screening,,notes,Comments,,,,,,,,,,,,,
duplicate,screening,,yesno,"Accident Duplicate Entry?",,,,,,,"[qr_code] = '0'",,,,,,
student_ref,referral,,dropdown,"Student Referring","1, Gene M | 2, Ethan B | 3, Matthew Y | 4, Natalie G | 5, Brianna C | 6, Advika K | 7, Mohanapriya C | 8, Bailey G | 9, Dongwon L | 10, Ayra C | 11, Haripriya D | 12, Gloria K | 13, Morgan B | 14, Leslie L P | 15, Nidhi D | 16, James Z | 17, Natalie R | 18, Grace L | 19, Meredith H | 20, Adrian C | 21, Caroline H | 22, Sriya D | 23, Emily R | 24, Aneri T | 25, Rose N | 26, Esther Z | 27, Amber B | 28, Katherine W | 29, Margo B | 30, NiQuava P | 31, Scott M | 32, Pratamesh R | 33, Rebecca L | 34, Sue Z | 35, Wayne W | 36, Amitesh V | 37, McKenna P | 38, Esha P | 39, Rhea N | 40, Shibani M | 41, Yaneli G H | 42, Devan D | 43, Amy C | 44, Julia C | 45, Yasmin A | 46, Maria B | 47, Ishaan B | 48, Austin B | 49, Eugene C | 50, Emily D C | 51, Saisha D | 52, Spandan G | 53, Amy G | 54, Achintya I | 55, Elena K | 56, Cristal O | 57, Taylor P | 58, Catherine P | 59, Ashna S | 60, Rachel S | 61, Ashish S | 62, Ariana V | 63, Brooke W | 64, Dev S | 65, Elias L",,autocomplete,,,y,,y,,,,,
attempt1_ref,referral,,text,"Attempt 1",,,datetime_mdy,,,y,,,,,,,
ddiff1_ref,referral,,calc,"Days Since Screening 1","datediff([attempt1_ref], [datescreen], ""d"", ""mdy"")",,,,,,,,,,,," @READONLY"
contacttype1_ref,referral,,radio,"Method of Contact 1","1, Call | 2, Text | 3, Email",,,,,,,,,,,,
calloutcome1_ref,referral,,dropdown,"Call Outcome 1","1, Disconnected phone line | 2, Wrong number | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy",,autocomplete,,,,"[contacttype1_ref] = '1' or [contacttype1_ref] = ''",,,,,,
textoutcome1_ref,referral,,dropdown,"Text Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_ref] = '2' ",,,,,,
emailoutcome1_ref,referral,,dropdown,"Email Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1_ref] = '3' ",,,,,,
attempt2_ref,referral,,text,"Attempt 2",,,datetime_seconds_mdy,,,y,"[calloutcome1_ref] != '9' and [calloutcome1_ref] != '' or [textoutcome1_ref] = '2' or [emailoutcome1_ref] = '2'",,,,,,
ddiff2_ref,referral,,calc,"Days Since Screening 2","datediff([attempt2_ref], [datescreen], ""d"", ""mdy"")",,,,,,"[calloutcome1_ref] != '9' and [calloutcome1_ref] != '' or [textoutcome1_ref] = '2' or [emailoutcome1_ref] = '2'",,,,,," @READONLY"
contacttype2_ref,referral,,radio,"Method of Contact 2","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome1_ref] != '9' and [calloutcome1_ref] != '' or [textoutcome1_ref] = '2' or [emailoutcome1_ref] = '2'",,,,,,
calloutcome2_ref,referral,,dropdown,"Call Outcome 2","1, Disconnected phone line | 2, Wrong number | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy",,autocomplete,,,,"([calloutcome1_ref] != '9' and [calloutcome1_ref] != '' or [textoutcome1_ref] = '2' or [emailoutcome1_ref] = '2') and [contacttype2_ref] != '2' and [contacttype2_ref] != '3' ",,,,,,
textoutcome2_ref,referral,,dropdown,"Text Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_ref] != '9' and [calloutcome1_ref] != '' or [textoutcome1_ref] = '2' or [emailoutcome1_ref] = '2') and [contacttype2_ref] = '2'",,,,,,
emailoutcome2_ref,referral,,dropdown,"Email Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1_ref] != '9' and [calloutcome1_ref] != '' or [textoutcome1_ref] = '2' or [emailoutcome1_ref] = '2') and [contacttype2_ref] = '3'",,,,,,
attempt3_ref,referral,,text,"Attempt 3",,,datetime_seconds_mdy,,,y,"[calloutcome2_ref] != '9' and [calloutcome2_ref] != '' or [textoutcome2_ref] = '2' or [emailoutcome2_ref] = '2'",,,,,,
ddiff3_ref,referral,,calc,"Days Since Screening 3","datediff([attempt3_ref], [datescreen], ""d"", ""mdy"")",,,,,,"[calloutcome2_ref] != '9' and [calloutcome2_ref] != '' or [textoutcome2_ref] = '2' or [emailoutcome2_ref] = '2'",,,,,," @READONLY"
contacttype3_ref,referral,,radio,"Method of Contact 3","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome2_ref] != '9' and [calloutcome2_ref] != '' or [textoutcome2_ref] = '2' or [emailoutcome2_ref] = '2' ",,,,,,
calloutcome3_ref,referral,,dropdown,"Call Outcome 3","1, Disconnected phone line | 2, Wrong number | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 8, Someone hung up on you | 9, Finished script with patient or proxy",,autocomplete,,,,"([calloutcome2_ref] != '9' and [calloutcome2_ref] != '' or [textoutcome2_ref] = '2' or [emailoutcome2_ref] = '2') and [contacttype3_ref] != '2' and [contacttype3_ref] != '3' ",,,,,,
textoutcome3_ref,referral,,dropdown,"Text Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_ref] != '9' and [calloutcome2_ref] != '' or [textoutcome2_ref] = '2' or [emailoutcome2_ref] = '2') and [contacttype3_ref] = '2' ",,,,,,
emailoutcome3_ref,referral,,dropdown,"Email Outcome 3","1, Responded | 2, Did not respond",,,,,,"([calloutcome2_ref] != '9' and [calloutcome2_ref] != '' or [textoutcome2_ref] = '2' or [emailoutcome2_ref] = '2') and [contacttype3_ref] = '3' ",,,,,,
length_ref,referral,,text,"Length of Call (minutes)",,,integer,0,60,,,y,,,,,
lengthresponse_ref,referral,,dropdown,"How long did it take the patient to respond after volunteer sent text/email?","1, within 1 day  | 2, within 1 week  | 3, within 2 weeks | 4, within 1 month  | 5, more than 1 month",,,,,,"[contacttype1_ref] = '2' or [contacttype2_ref] = '2' or [contacttype3_ref] = '2' or [contacttype1_ref] = '3' or [contacttype2_ref] = '3' or [contacttype3_ref] = '3'",,,,,,
patientresponse_ref,referral,,checkbox,"Which method of communication did the patient respond to?","1, Call  | 2, Text  | 3, Email",,,,,,,,,,,,
notes_ref_reach,referral,,notes,"Notes about reaching patient",,,,,,,,,,,,,
ref_cat,referral,,checkbox,"Select all the categories in which the patient has received a referral.","1, Food insecurity | 2, Transportation | 3, Housing | 4, Educational and Professional Development | 5, Childcare/Youth Development  | 6, Financial | 7, Access to Medical Care | 8, Social and Emotional Health | 9, Conflict with the Criminal Justice System | 10, Domestic or intimate partner violence | 11, Utilities | 13, Clothing | 12, No Referral",,,,,,,y,,,,,
food_ref,referral,,text,"Food Insecurity (Referral 1)",,,,,,,"[ref_cat(1)] = ""1""",,,,,,
food_addn,referral,,yesno,"Additional Referral?",,,,,,,"[food_ref] != """"",,,,,,
food_ref_2,referral,,text,"Food Insecurity (Referral 2)",,,,,,,"[food_addn] = 1",,,,,,
food_addn_2,referral,,yesno,"Additional Referral?",,,,,,,"[food_ref_2] != """"",,,,,,
food_ref_3,referral,,text,"Food Insecurity (Referral 3)",,,,,,,"[food_addn_2] = 1",,,,,,
food_ref_other,referral,,text,"Additional Referrals (Food Insecurity)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[food_ref_3] != """"",,,,,,
food_notes,referral,,notes,"Notes ",,,,,,,"[food_ref] != """"",,,,,,
clothing_ref,referral,,text,"Clothing (Referral 1)",,,,,,,"[ref_cat(13)] = ""1""",,,,,,
clothing_addn,referral,,yesno,"Additional Referral?",,,,,,,"[clothing_ref] != """"",,,,,,
clothing_ref_2,referral,,text,"Clothing (Referral 2)",,,,,,,"[clothing_addn] = ""1""",,,,,,
clothing_ref_other,referral,,text,"Additional Referrals (Clothing)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[clothing_ref_2] != """"",,,,,,
transport_ref,referral,,text,"Transportation (Referral 1)",,,,,,,"[ref_cat(2)] = ""1""",,,,,,
transport_addn,referral,,yesno,"Additional Referral?",,,,,,,"[transport_ref] != """"",,,,,,
transport_ref_2,referral,,text,"Transportation (Referral 2)",,,,,,,"[transport_addn] = 1",,,,,,
transport_ref_other,referral,,text,"Additional Referrals (Transportation)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[transport_ref_2] != """"",,,,,,
transport_notes,referral,,notes,"Notes ",,,,,,,"[transport_ref] != """"",,,,,,
housing_ref,referral,,text,"Housing (Referral 1)",,,,,,,"[ref_cat(3)] = ""1""",,,,,,
housing_addn,referral,,yesno,"Additional Referral?",,,,,,,"[housing_ref] != """"",,,,,,
housing_ref_2,referral,,text,"Housing (Referral 2)",,,,,,,"[housing_addn] = '1'",,,,,,
housing_addn_2,referral,,yesno,"Additional Referral?",,,,,,,"[housing_ref_2] != """"",,,,,,
housing_ref_3,referral,,text,"Housing (Referral 3)",,,,,,,"[housing_addn_2] = '1'",,,,,,
housing_ref_other,referral,,text,"Additional Referrals (Housing)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[housing_ref_3] != """"",,,,,,
housing_notes,referral,,notes,"Notes ",,,,,,,"[housing_ref] != """"",,,,,,
edu_ref,referral,,text,"Educational and Professional Development (Referral 1)",,,,,,,"[ref_cat(4)] = '1'",,,,,,
edu_ref_other,referral,,text,"Additional Referrals (Educational and Professional Development)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[edu_ref] != """"",,,,,,
edu_notes,referral,,notes,"Notes ",,,,,,,"[edu_ref] != """"",,,,,,
youth_ref,referral,,text,"Childcare/Youth Development (Referral 1)",,,,,,,"[ref_cat(5)] = '1'",,,,,,
youth_ref_other,referral,,text,"Additional Referrals (Childcare/Youth Development)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[youth_ref] != """"",,,,,,
youth_notes,referral,,notes,"Notes ",,,,,,,"[youth_ref] != """"",,,,,,
fin_ref,referral,,text,"Financial (Referral 1)",,,,,,,"[ref_cat(6)] = '1'",,,,,,
fin_addn,referral,,yesno,"Additional Referral?",,,,,,,"[fin_ref] != """"",,,,,,
fin_ref_2,referral,,text,"Financial (Referral 2)",,,,,,,"[fin_addn] = '1'",,,,,,
fin_ref_other,referral,,text,"Additional Referrals (Financial)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[fin_ref_2] != """"",,,,,,
fin_notes,referral,,notes,"Notes ",,,,,,,"[fin_ref] != """"",,,,,,
medical_ref,referral,,text,"Access to Medical Care/Prescription Medications (Referral 1)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[ref_cat(7)] = '1'",,,,,,
medical_addn,referral,,yesno,"Additional Referral?",,,,,,,"[medical_ref] != """"",,,,,,
medical_ref_2,referral,,text,"Access to Medical Care/Prescription Medications (Referral 2)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[medical_addn] = '1'",,,,,,
medical_addn_2,referral,,yesno,"Additional Referral?",,,,,,,"[medical_ref_2] != """"",,,,,,
medical_ref_3,referral,,text,"Access to Medical Care/Prescription Medications (Referral 3)",,,,,,,"[medical_addn_2] = '1'",,,,,,
medical_ref_other,referral,,text,"Additional Referrals (Access to Medical Care/Prescription Medications)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[medical_ref_3] != """"",,,,,,
medical_notes,referral,,notes,"Notes ",,,,,,,"[medical_ref] != """"",,,,,,
social_ref,referral,,text,"Social and Emotional Health (Referral 1)",,,,,,,"[ref_cat(8)] = '1'",,,,,,
social_ref_other,referral,,text,"Additional Referrals (Social/Emotional Health)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[social_ref] != """"",,,,,,
social_notes,referral,,notes,"Notes ",,,,,,,"[social_ref] != """"",,,,,,
criminal_ref,referral,,text,"Conflict with the Criminal Justice System (Referral 1)",,,,,,,"[ref_cat(9)] = '1'",,,,,,
criminal_ref_other,referral,,text,"Additional Referrals (Conflict with the Criminal Justice System)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[criminal_ref] != """"",,,,,,
criminal_notes,referral,,notes,"Notes ",,,,,,,"[criminal_ref] != """"",,,,,,
violence_ref,referral,,text,"Domestic or intimate partner violence (Referral 1)",,,,,,,"[ref_cat(10)] = '1'",,,,,,
violence_ref_other,referral,,text,"Additional Referrals (Domestic or intimate partner violence)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[violence_ref] != """"",,,,,,
violence_notes,referral,,notes,"Notes ",,,,,,,"[violence_ref] != """"",,,,,,
utilities,referral,,text,"Utilities (Referral 1)",,,,,,,"[ref_cat(11)] = '1'",,,,,,
utilities_addn,referral,,yesno,"Additional Referral?",,,,,,,"[utilities] != """"",,,,,,
utilities_2,referral,,text,"Utilities (Referral 2)",,,,,,,"[utilities_addn] = '1'",,,,,,
utilities_ref_other,referral,,text,"Additional Referrals (Utilities)",,"Enter with comma, space between entries: ex - Perkins Library, CAPS, ARC",,,,,"[utilities_2] != """"",,,,,,
utilities_ref_notes,referral,,notes,"Notes ",,,,,,,"[utilities] != """"",,,,,,
ref_comments,referral,,notes,"Additional Comments",,,,,,,,,,,,,
student1,followup_2_weeks,,dropdown,"Name of Student 1 Calling","1, Gene M | 2, Ethan B | 3, Matthew Y | 4, Natalie G | 5, Brianna C | 6, Advika K | 7, Mohanapriya C | 8, Bailey G | 9, Dongwon L | 10, Ayra C | 11, Haripriya D | 12, Gloria K | 13, Morgan B | 14, Leslie L P | 15, Nidhi D | 16, James Z | 17, Natalie R | 18, Grace L | 19, Meredith H | 20, Adrian C | 21, Caroline H | 22, Sriya D | 23, Emily R | 24, Aneri T | 25, Rose N | 26, Esther Z | 27, Amber B | 28, Katherine W | 29, Margo B | 30, NiQuava P | 31, Scott M | 32, Pratamesh R | 33, Rebecca L | 34, Sue Z | 35, Wayne W | 36, Amitesh V | 37, McKenna P | 38, Esha P | 39, Rhea N | 40, Shibani M | 41, Yaneli G H | 42, Devan D | 43, Amy C | 44, Julia C | 45, Yasmin A | 46, Maria B | 47, Ishaan B | 48, Austin B | 49, Eugene C | 50, Emily D C | 51, Saisha D | 52, Spandan G | 53, Amy G | 54, Achintya I | 55, Elena K | 56, Cristal O | 57, Taylor P | 58, Catherine P | 59, Ashna S | 60, Rachel S | 61, Ashish S | 62, Ariana V | 63, Brooke W | 64, Dev S | 65, Elias L",,autocomplete,,,y,,,,,,,
attempt1,followup_2_weeks,,text,"Attempt 1",,,datetime_mdy,,,y,,,,,,,
ddiff1,followup_2_weeks,,calc,"Days Since Screening 1","datediff([attempt1], [datescreen], ""d"", ""mdy"")",,,,,,,,,,,," @READONLY"
contacttype1,followup_2_weeks,,radio,"Method of Contact 1","1, Call | 2, Text | 3, Email",,,,,,,,,,,,
calloutcome1,followup_2_weeks,,dropdown,"Call Outcome 1","1, Disconnected phone line | 2, Wrong number | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 9, Finished script with patient or proxy",,autocomplete,,,,"[contacttype1]= '1'",,,,,,
textoutcome1,followup_2_weeks,,dropdown,"Text Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1] = '2'",,,,,,
emailoutcome1,followup_2_weeks,,dropdown,"Email Outcome 1","1, Responded | 2, Did not respond",,,,,,"[contacttype1] = '3'",,,,,,
attempt2,followup_2_weeks,,text,"Attempt 2",,,datetime_mdy,,,y,"[calloutcome1] != '9' and [calloutcome1] != '' or [textoutcome1] = '2' or [emailoutcome1] = '2'",,,,,,
ddiff2,followup_2_weeks,,calc,"Days Since Screening 2","datediff([attempt2], [datescreen], ""d"", ""mdy"")",,,,,,"[calloutcome1] != '9' and [calloutcome1] != '' or [textoutcome1] = '2' or [emailoutcome1] = '2'",,,,,," @READONLY"
contacttype2,followup_2_weeks,,radio,"Method of Contact 2","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome1] != '9' and [calloutcome1] != '' or [textoutcome1] = '2' or [emailoutcome1] = '2'",,,,,,
calloutcome2,followup_2_weeks,,dropdown,"Call Outcome 2","1, Disconnected phone line | 2, Wrong number | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 9, Finished script with patient or proxy",,autocomplete,,,,"([calloutcome1] != '9' and [calloutcome1] != '' or [textoutcome1] = '2' or [emailoutcome1] = '2') and [contacttype2] = '1'",,,,,,
textoutcome2,followup_2_weeks,,dropdown,"Text Outcome 2","1, Responded | 2, Did not respond",,,,,,"([calloutcome1] != '9' and [calloutcome1] != '' or [textoutcome1] = '2' or [emailoutcome1] = '2') and [contacttype2] = '2'",,,,,,
emailoutcome2,followup_2_weeks,,dropdown,"Email Outcome 2","1, Responded  | 2, Did not respond",,,,,,"([calloutcome1] != '9' and [calloutcome1] != '' or [textoutcome1] = '2' or [emailoutcome1] = '2') and [contacttype2] = '3'",,,,,,
attempt3,followup_2_weeks,,text,"Attempt 3",,,datetime_mdy,,,y,"[calloutcome2] != '9' and [calloutcome2] != '' or [textoutcome2] = '2' or [emailoutcome2] = '2'",,,,,,
ddiff3,followup_2_weeks,,calc,"Days Since Screening 3","datediff([attempt3], [datescreen], ""d"", ""mdy"")",,,,,,"[calloutcome2] != '9' and [calloutcome2] != '' or [textoutcome2] = '2' or [emailoutcome2] = '2'",,,,,," @READONLY"
contacttype3,followup_2_weeks,,radio,"Method of Contact 3","1, Call | 2, Text | 3, Email",,,,,,"[calloutcome2] != '9' and [calloutcome2] != '' or [textoutcome2] = '2' or [emailoutcome2] = '2'",,,,,,
calloutcome3,followup_2_weeks,,dropdown,"Call Outcome 3","1, Disconnected phone line | 2, Wrong number | 3, Someone hung up on you | 4, Asked to be removed | 5, Need to reschedule | 6, Left VM | 7, Called, no option to leave VM | 9, Finished script with patient or proxy",,autocomplete,,,,"([calloutcome2] != '9' and [calloutcome2] != '' or [textoutcome2] = '2' or [emailoutcome2] = '2') and [contacttype3] = '1'",,,,,,
textoutcome3,followup_2_weeks,,dropdown,"Text Outcome 3","1, Responded  | 2, Did not respond",,,,,,"([calloutcome2] != '9' and [calloutcome2] != '' or [textoutcome2] = '2' or [emailoutcome2] = '2') and [contacttype3] = '2'",,,,,,
emailoutcome3,followup_2_weeks,,dropdown,"Email Outcome 3","1, Responded  | 2, Did not respond",,,,,,"([calloutcome2] != '9' and [calloutcome2] != '' or [textoutcome2] = '2' or [emailoutcome2] = '2') and [contacttype3] = '3'",,,,,,
length2,followup_2_weeks,,text,"Length of call (minutes)",,,integer,0,50,,"[contacttype1] = '1' or [contacttype2] = '1' or [contacttype3] = '1'",y,,,,,
